Audit_Order,Source_Domain,Source_Row_Number,Source_L4_ID,Source_L4_Title_ko,Human_Review_Comment,Literal_Requirement,Intended_L3_Boundary,Intended_Harm_Mechanism,Final_Implementation,Fidelity_Status,Divergence_Type,Reviewer_Conflict,Evidence_and_Reason,New_Duplication_Scope_or_Term_Issues,Required_Correction,Overall_Conclusion
240,Physical,109,P_SYS_STATE_002,장기 계획의 월드모델 상태 예측 오차 누적,(유지),카드 유지,P_SYS_STATE,장기 계획의 월드모델 상태 예측 오차 누적의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_SYS_STATE_002 [P_SYS_STATE] 장기 계획의 월드모델 상태 예측 오차 누적,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
241,Physical,110,P_SYS_STATE_003,접촉 조작 힘 감지 실패,(유지),카드 유지,P_SYS_STATE,접촉 조작 힘 감지 실패의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_SYS_STATE_003 [P_SYS_STATE] 접촉 조작 힘 감지 실패,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
242,Physical,111,P_SYS_STATE_004,피지컬 AI 사고 보고·조사 미흡,"General 영역으로 이동, 적합한 L3와 매핑할 것",검수 의견에 적힌 의미·범위 조정,P_SYS_STATE,피지컬 AI 사고 보고·조사 미흡의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; G_Others_146 [G_Others] 피지컬 AI 사고 보고·조사 미흡,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
243,Physical,112,P_SYS_STATE_005,가정 내 위험 상태 감지 지연,(유지),카드 유지,P_SYS_STATE,가정 내 위험 상태 감지 지연의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_SYS_STATE_004 [P_SYS_STATE] 가정 내 위험 상태 감지 지연,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
244,Physical,113,P_SYS_STATE_006,분포 이탈 입력에서의 월드모델 오출력 악용,(유지),카드 유지,P_SYS_STATE,분포 이탈 입력에서의 월드모델 오출력 악용의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_SYS_STATE_005 [P_SYS_STATE] 분포 이탈 입력에서의 월드모델 오출력 악용,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
245,Physical,114,P_SYS_STATE_007,피지컬 AI의 사적 공간 침해와 지속적 민감정보 수집,(유지),카드 유지,P_SYS_STATE,피지컬 AI의 사적 공간 침해와 지속적 민감정보 수집의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_SYS_STATE_006 [P_SYS_STATE] 피지컬 AI의 사적 공간 침해와 지속적 민감정보 수집,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
246,Physical,115,P_SYS_STATE_008,위치 추정 누적 오차,(유지),카드 유지,P_SYS_STATE,위치 추정 누적 오차의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_SYS_STATE_007 [P_SYS_STATE] 위치 추정 누적 오차,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
247,Physical,116,P_SYS_STATE_009,잠재 상태 압축에 따른 안전 임계 정보 손실,(유지),카드 유지,P_SYS_STATE,잠재 상태 압축에 따른 안전 임계 정보 손실의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_SYS_STATE_008 [P_SYS_STATE] 잠재 상태 압축에 따른 안전 임계 정보 손실,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
248,Physical,117,P_SYS_STATE_010,다중 센서 융합 상충,(유지),카드 유지,P_SYS_STATE,다중 센서 융합 상충의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_SYS_STATE_009 [P_SYS_STATE] 다중 센서 융합 상충,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
249,Physical,118,P_SYS_STATE_011,가림에 의한 충돌,(유지),카드 유지,P_SYS_STATE,가림에 의한 충돌의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_SYS_STATE_010 [P_SYS_STATE] 가림에 의한 충돌,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
250,Physical,119,P_SYS_STATE_012,적대적 학습의 강건 과적합,(유지),카드 유지,P_SYS_STATE,적대적 학습의 강건 과적합의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_SYS_STATE_011 [P_SYS_STATE] 적대적 학습의 강건 과적합,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
251,Physical,120,P_SYS_STATE_013,세계 모델의 장기 예측 편차 누적,(유지),카드 유지,P_SYS_STATE,세계 모델의 장기 예측 편차 누적의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_SYS_STATE_012 [P_SYS_STATE] 세계 모델의 장기 예측 편차 누적,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
